"Reference: Lamlom, S. H., and R. A. Savidge. ""A reassessment of carbon content in wood: variation within and between 41 North American species."" Biomass and Bioenergy 25.4 (2003): 381-388.",,,,,,
,,,,,,
,,,,,,
,,,,,,
Species_en,Essence_fr,Latin name,C%,SD,H%,SD
Deciduous,Feuillus,Decidere,,,,
Conifers,Conifères,Pinophyta,,,,
All,Tous,,,,,
Balsam fir,Sapin baumier,Abies balsamea,50.08,0.45,7.69,0.35
Balsam poplar,Peuplier baumier,Populus balsamifera,,,,
Basswood,Tilleul d'Amérique,Tilia americana,46.43,0.17,6.48,0.61
American beech,Hêtre à grandes feuilles,Fagus grandifolia,46.6,0.39,6.09,0.87
Black ash,Frêne noir,Fraxinus nigra,47.8,0.48,8.02,0.13
Black cherry,Cerisier noir,Prunus serotina,49.53,0.18,8,0.34
Black spruce,Épinette noire,Picea mariana,,,,
Douglas fir,Douglas,Pseudotsuga menziesii,,,,
Eastern hemlock,Pruche du Canada,Tsuga canadensis,50.33,0.32,7.63,0.47
Eastern white cedar,Thuya occidental,Thuja occidentalis,51.72,0.17,8.09,0.18
Eastern white pine,Pin blanc,Pinus strobus,49.74,0.16,8.25,0.25
Engelmann spruce,Épinette d'Engelmann,Picea engelmannii,,,,
Grey birch,Bouleau gris,Betula populifolia,,,,
Hickory,Caryer,Carya,48.47,0.41,8.02,0.35
Hop-Hornbeam,Ostryer de Virginie,Ostrya virginiana,,,,
Jack pine,Pin gris,Pinus banksiana,,,,
Largetooth aspen,Peuplier à grandes dents,Populus grandidentata,,,,
Lodgepole pine,Pin tordu latifolié,Pinus contorta,50.32,0.43,8.05,0.46
Pacific silver fir ,Sapin gracieux,Abies amabilis,48.55,0.99,8.1,0.22
Black cottonwood,Peuplier de l'Ouest,Populus trichocarpa,49.25,0.25,8.29,0.18
Red alder,Aulne rouge,Alnus rubra,47.7,0.12,7.99,0.19
Red ash,Frêne rouge,Fraxinus pennsylvanica,,,,
Red Maple,Érable rouge,Acer rubrum,48.64,0.52,8.38,0.36
Red oak,Chêne rouge,Quercus rubra,49.63,0.32,8.14,0.29
Red pine,Pin rouge,Pinus resinosa,53.28,0.33,8.74,0.07
Red spruce,Épinette rouge,Picea rubens,,,,
Silver maple,Érable à grandes feuilles,Acer saccharinum,,,,
Sitka spruce ,Épinette de Sitka,Picea sitchensis,49.95,0.02,8.24,0.09
Subalpine fir,Sapin subalpin,Abies lasiocarpa,,,,
Sugar maple,Érable à sucre,Acer saccharum,49.32,0.19,7.89,0.2
Tamarack larch,Mélèze laricin,Larix laricina,47.21,0.35,7.9,0.18
Trembling aspen,Peuplier faux-tremble,Populus tremuloides,47.09,0.75,6.28,1.14
Western hemlock,Pruche de l'Ouest,Tsuga heterophylla,50.6,0.45,7.85,0.33
Western red cedar,Thuya géant,Thuja plicata,51.54,0.38,8.16,0.27
White ash,Frêne blanc,Fraxinus americana,48.28,0.36,7.9,0.26
White birch,Bouleau blanc,Betula papyrifera,48.37,0.21,7.87,0.26
White elm,Orme blanc,Ulmus laevis,46.32,0.27,5.67,0.26
White oak,Chêne blanc,Quercus alba,49.57,0.22,7.64,0.25
White spruce,Épinette blanche,Picea glauca,50.39,0.45,7.95,0.26
Yellow birch,Bouleau jaune,Betula alleghaniensis,46.27,0.33,5.56,2.1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
